country,PC1,PC2,PC3,PC4,PC5,Cluster
Afghanistan,-2.912999919046237,0.0919694483207574,-0.7212424746838885,1.001837710117231,-0.14676470843654255,0
Albania,0.42986988176600605,-0.5893730045493542,-0.32861100861376785,-1.16501385054013,0.15320523969937158,1
Algeria,-0.2852887470424211,-0.4521387213269761,1.232050546346901,-0.8577670200647706,0.19122715544409952,0
Angola,-2.9327136050459828,1.6987705452223554,1.525076015486003,0.8555954973887312,-0.2147779690464825,0
Antigua and Barbuda,1.0333714583263585,0.13385273613960808,-0.2166992002858906,-0.8466376552258352,-0.19318624963954184,1
Argentina,0.022890343612506615,-1.7727355013541133,0.8644995332761175,-0.03674661735364129,0.9978952535317339,0
Armenia,-0.10146316444097321,-0.5673179838227607,0.24810695027990906,-1.4660234485351737,-0.08583192595429018,0
Australia,2.342153262407161,-1.9897097139583537,0.19879506812896242,1.1134126252053487,-0.7106537890118882,1
Austria,2.9738411050720672,-0.7351521040269913,-0.5282843685881738,1.2011013700985818,0.08016651357271243,1
Azerbaijan,-0.1813028428670407,-0.3968948050356671,0.8683989346897445,-0.435201409399221,0.12035725902191007,0
Bahamas,1.2687396255493038,-0.6586579365025776,-0.48455495302311413,0.05394499427845347,-0.398859365636951,1
Bahrain,1.6710242725110898,0.5639341679888121,0.9974644525253197,-0.19791239208031672,-0.3789908995409845,1
Bangladesh,-1.1239789935743838,-0.9610827779254695,0.5429638092278335,-1.1892036475243906,-0.6883480423223297,0
Barbados,1.0811963723889004,-0.4849825599735711,-0.6589913170857541,-0.5265710133910283,-0.008861886681072703,1
Belarus,0.5805743023923261,0.5414050415792773,0.4719864545764826,-1.0420848232210111,0.7847117726881379,1
Belgium,3.143756191940457,0.6624820522667845,-0.6598546362340525,1.0876442334420182,0.4459790350489401,1
Belize,0.2109075049796193,0.6956334250060838,-0.26173063195361723,-1.0942437269161172,-0.28526615422314183,0
Benin,-2.6730046953551425,0.41119907201348593,-0.2372321205550585,0.2896679362107104,-1.411853931477619,0
Bhutan,-0.15669605447137339,0.7761132515408093,-0.27926613628130165,-1.0427237080055716,0.0975844360540072,0
Bolivia,-0.7941505085100135,-0.12099705192628041,0.4141319306238815,-0.7178243338390466,-0.20604145386851783,0
Bosnia and Herzegovina,0.995908593973096,-0.9748057742489903,-1.5340714287077961,-0.6384878186329226,0.9003750717751113,1
Botswana,-0.8815756808366748,0.4602557967535204,-0.6022322401919674,0.3940243076115433,0.2489341629361311,0
Brazil,0.141006684424591,-2.149630652852978,-0.16956662801454248,-0.17021964799533554,0.284365782993446,1
Brunei,2.460675317498855,0.028279201469270876,3.0225487007482275,0.8012358724180227,-1.015430295291086,1
Bulgaria,0.9065042138331372,0.02872772945263306,-0.46560146908186306,-0.9990391570581546,-0.018948201430062102,1
Burkina Faso,-3.1224295809348392,0.03413184792100181,-0.44830927865160225,1.0852558921622582,-0.7057879915913897,0
Burundi,-2.898911279379759,-0.4266935033896152,-1.3600857943955584,1.8097817180123752,0.7423533580557417,0
Cambodia,-0.5826220580934236,0.8924202156289412,-0.4946621411381817,-0.808601248675099,-0.15629750728297437,0
Cameroon,-2.8083317465554845,0.07370519323886038,-0.32775733358960213,0.5510916729082568,-1.313928937926206,0
Canada,2.54377573213306,-1.727356905157059,-0.4017600721772151,1.334434300957949,0.0704552785976456,1
Cape Verde,-0.15610478775767664,0.3467259426677869,-0.27791204885882315,-1.3417786051305098,-0.5389426053996753,0
Central African Republic,-3.9651583763399496,0.38368474617197906,-0.3170989585997107,0.9246447853793074,-1.8717142293243667,0
Chad,-3.5582493681296388,1.283684326385263,-0.09389965079047691,1.2192029460547833,-1.1938886331271217,0
Chile,0.9516560730134944,-1.0753902787476788,0.15556324159755058,-0.436591422868067,0.4323596451125986,1
China,0.05747530178428954,-1.1888373972142054,0.44172315294069747,-1.2726512418142775,-0.2426162146548148,0
Colombia,0.12102069235813219,-1.7707411266510802,-0.2307586214111417,-0.7143905556542343,-0.0958410375296225,1
Comoros,-2.0940188035416667,0.3377874737076892,-0.31671009102507336,-0.11360804092302433,-0.7958393637331692,0
"Congo, Dem. Rep.",-3.173420509125121,1.0508798084591944,-0.016341022665632934,1.572625131853095,0.6930806295575437,0
"Congo, Rep.",-1.7257543939925648,2.180874678900003,1.493449765566907,-0.12698865591343952,0.11564291416870379,0
Costa Rica,0.9377378208415483,-1.3521088457121722,-0.8212887175541203,-0.26932541441617497,0.9894648196712948,1
Cote d'Ivoire,-2.5821322612955795,1.2045740327432182,-0.22675498186206988,0.6703652444747422,-0.8462538898606191,0
Croatia,1.1487963666783114,-0.8465171778560375,-0.40090364231306297,-0.6250468935133532,-0.11732018092513097,1
Cyprus,2.1744069089357345,-0.004717084908466334,0.26125249846770954,-0.30791229725176683,-0.42207009285434177,1
Czech Republic,2.0530831135434995,0.4208688330612278,-0.5403325945224208,-0.41547967450867834,-0.06350075011544938,1
Denmark,3.0106419480684288,-0.8652844996732025,-0.3471290342670295,1.7847549815729926,0.11320420547488824,1
Dominican Republic,-0.23128033252333194,-0.8824408674933947,-0.025071666340180997,-0.6507344499425674,-0.20216085221382024,0
